id,name,code,imageurl
1,Russia,RU,https://cdn.webshopapp.com/shops/94414/files/54940426/russia-flag-image-free-download.jpg
2,Belarus,RU,https://cdn.countryflags.com/thumbs/belarus/flag-400.png
3,United Kingdom,EN,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Flag_of_the_United_Kingdom.svg/640px-Flag_of_the_United_Kingdom.svg.png
4,France,FR,https://cdn.webshopapp.com/shops/94414/files/54002660/france-flag-image-free-download.jpg
5,Germany,DE,https://cdn.webshopapp.com/shops/94414/files/54006402/germany-flag-image-free-download.jpg
6,Italy,IT,https://cdn.countryflags.com/thumbs/italy/flag-400.png
7,USA,EN,https://cdn.webshopapp.com/shops/94414/files/54958906/the-united-states-flag-image-free-download.jpg
8,Japan,EN,https://image.freepik.com/free-vector/illustration-japan-flag_53876-27128.jpg
9,Poland,EN,https://cdn.webshopapp.com/shops/94414/files/54940016/poland-flag-image-free-download.jpg
10,Spain,ES,https://cdn.webshopapp.com/shops/94414/files/54940016/poland-flag-image-free-download.jpg